Title Name,Language,Type,Rating,IMDb,Cover Image Path
Once Upon A Time In Lingjian Mountain,TV,Mandarin,TV-14,7.6/10,images\AAAABVipmj1ghc_49N4x7D2xL-snXy_vulVX4iVgUBfpkEi0MBLmBIytSfQAkuI2CQpzAwqAfZ_XqvqMdOPRbrHXghdI5LXPW-mGB7m4b2eIvq-ZrJsAfFAVqUh7KJLV1-cLsZNNZT-I8B627Q.jpg
ONE PIECE,TV,Japanese,TV-14,9.2/10,images\AAAABbkojnU-N2-X-MFVmS1xhdhnwWbYlA-m6l1OudcLvAXh9Oeq8lxEjuoHEn6DvCn0hzgLv8pQh96e7PfyoNjkNdZ-lRS4.jpg
One Piece Adventure of Nebulandia,Movie,Japanese,TV-PG,,images\onepieceadventureofnebulandia.jpeg
One Piece Episode of East blue - Luffy and His Four Crewmates' Great Adventure,Movie,Japanese,TV-14,,images\onepieceepisodeofeastblueluffyandhisfourcrewmatesgreatadventure.jpeg
One Piece Episode of Skypiea,Movie,Japanese,TV-14,,images\onepieceepisodeofskypiea.jpeg
One Piece Film Z,Movie,Japanese,TV-14,,images\onepiecefilmz.jpeg
One Piece Film: Red,Movie,Japanese,PG-13,,images\onepiecefilmred.jpeg
One Piece Film: Strong World,Movie,Japanese,TV-PG,,images\onepiecefilmstrongworld.jpeg
One Piece: Episode of Alabasta,Movie,Japanese,PG-13,,images\onepieceepisodeofalabasta.jpeg
"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura",Movie,Japanese,TV-PG,,images\onepieceepisodeofchopperbloominthewintermiraclesakura.jpeg
One-Punch Man,TV,Japanese,TV-14,8.8/10,
Onimusha,TV,Japanese,TV-MA,,images\onimusha.jpeg
Onmyoji,TV,Japanese,TV-MA,,images\onmyoji.jpeg
Ōoku: The Inner Chambers,TV,Japanese,TV-MA,,images\okutheinnerchambers.jpeg
Orb: On the Movements of the Earth,TV,Japanese,TV-MA,,images\orbonthemovementsoftheearth.jpeg
Overlord,TV,Japanese,TV-MA,,images\overlord.jpeg
Pacific Rim: The Black,TV,Japanese,TV-14,,images\pacificrimtheblack.jpeg
Pokémon Journeys: The Series,TV,English,TV-Y7,0,images\AAAABY_u90r8pM-rWPWYhWNB5-onflnaJvLfdkWfbnc18Fb_P72USF_1OZnk9fqKb9U7VaOymGgBNwp0WGYjebKnHa1L_KE7xh6y2yhI7whWpz2mdRSyvxEtJxBsjadBLw.jpg
Pokémon the Movie: Secrets of the Jungle,Movie,Japanese,TV-Y7,,images\pokmonthemoviesecretsofthejungle.jpeg
Pokémon The Series: Indigo League,TV,English,TV-Y7,,
Pokémon: Mewtwo Strikes Back - Evolution,Movie,English,TV-Y7,5.7/10,images\AAAABWph8gvJr6YN-Ctjp2foUzKf6RfMuVcLxUwcCTwX9vwYfKQG50e3VdLrmRMFL110sr4h7kgvDDI4zfvpxpAYi7hvve74IIx4nFQlt9jCN2Bg8ov4uA3rQ3EnkQPPSw.jpg
Pretty Guardian Sailor Moon Eternal The Movie,TV,Japanese,TV-14,,images\prettyguardiansailormooneternalthemovie.jpeg
Qi Refining for 3000 Years,TV,Mandarin,TV-PG,,images\qirefiningfor3000years.jpeg
Ranma 1/2,TV,Japanese,TV-MA,,images\ranma12.jpeg
Record of Ragnarok,TV,Japanese,TV-MA,,images\recordofragnarok.jpeg
Resident Evil: Infinite Darkness,TV,English,TV-MA,,images\residentevilinfinitedarkness.jpeg
